Title,Genres,Score,Popularity,Year
Bokutachi no Remake,"Drama, Romance, Slice of Life",72.0,89486,2021
Kemono Jihen,"Action, Drama, Mystery, Supernatural",72.0,104867,2021
World Trigger 2nd Season,"Action, Sci-Fi",80.0,36758,2021
Gintama: THE FINAL,"Action, Comedy, Drama, Sci-Fi",91.0,42988,2021
BEASTARS 2,"Drama, Mystery, Psychological, Romance, Slice of Life",78.0,119533,2021
Hige wo Soru. Soshite Joshikousei wo Hirou.,"Drama, Romance, Slice of Life",70.0,155956,2021
Hortensia Saga,"Action, Adventure, Drama, Fantasy",54.0,18754,2021
Cheat Kusushi no Slow Life: Isekai ni Tsukurou Drugstore,"Comedy, Fantasy, Slice of Life",61.0,40450,2021
Shin Chuuka Ichiban! 2,Comedy,62.0,1602,2021
Back Arrow,"Action, Adventure, Fantasy, Mecha, Sci-Fi",58.0,13814,2021
Azur Lane: Bisoku Zenshin!,"Ecchi, Slice of Life",67.0,13148,2021
